Year,Month,Contract Interest Rate (%),Initial Fee and Charges (%),Effective Rate (%),Term to Maturity,Loan Amount ($thou),Purchase Price ($thou),Loan-to-Price Ratio (%),Share of Total Market (%)
1998,11,6.85,0.8,6.97,30,128.8,164.3,81.2,71.4
1998,12,6.88,0.98,7.03,30,133.9,169.9,81.5,75.7
1999,1,6.89,0.82,7.01,30,131.7,168.9,80.8,72
1999,2,6.92,0.76,7.04,30,134.8,173,80.7,73.5
1999,3,7.01,0.76,7.12,30,135,171.7,81.6,72.6
1999,4,7.05,0.76,7.17,30,133,170.4,81,71.7
1999,5,7.09,0.72,7.2,30,134.8,172.8,80.8,69.4
1999,6,7.34,0.77,7.46,30,135.9,173.9,80.9,66.1
1999,7,7.59,0.82,7.72,30,132,168.7,81.1,63.4
1999,8,7.79,0.81,7.91,30,126.8,161.6,81,58.9
1999,9,7.87,0.79,7.99,30,124.7,158.4,81.6,60.7
1999,10,7.87,0.82,7.99,30,123.2,156.9,81.6,61.2
1999,11,7.87,0.81,7.99,30,126.5,161.6,81.2,61.5
1999,12,7.9,0.77,8.02,30,127.4,161.7,82,60.1
2000,1,8.08,0.81,8.2,30,129.9,166.8,81.1,61.1
2000,2,8.27,0.78,8.39,30,127.8,163.7,81.2,58.6
2000,3,8.31,0.76,8.43,30,129.2,166.2,80.9,59
2000,4,8.27,0.76,8.39,30,126.6,162.9,80.9,62.2
2000,5,8.35,0.77,8.47,30,128.6,165.6,80.8,61.7
2000,6,8.43,0.79,8.55,30,130.2,169.5,80.1,62.1
2000,7,8.29,0.75,8.41,30,133,173.5,80,67.3
2000,8,8.16,0.73,8.27,30,135.4,176.5,79.9,69.7
2000,9,8.03,0.75,8.15,30,137.2,178.4,80,71.8
2000,10,7.95,0.7,8.05,30,137.2,179.3,79.9,72.6
2000,11,7.85,0.68,7.96,30,141.4,185.4,79.7,74.1
2000,12,7.68,0.69,7.78,30,143.1,187.4,79.6,74.1
2001,1,7.31,0.63,7.4,30,143.4,188.5,79.8,76.1
2001,2,7.13,0.61,7.22,30,146.4,192.1,79.9,75.5
2001,3,7.06,0.62,7.15,30,148.5,194.4,80.1,75.3
2001,4,7.09,0.56,7.17,30,149.7,197,80,72.4
2001,5,7.18,0.61,7.27,30,152.4,201.5,79.5,71.2
2001,6,7.21,0.57,7.3,30,154.7,203.6,79.8,72.1
2001,7,7.21,0.57,7.29,30,150.9,198.2,80,71.1
2001,8,7.13,0.56,7.21,30,149.9,196.4,80,69.9
2001,9,6.97,0.51,7.04,30,153.1,201.9,79.5,70
2001,10,6.76,0.5,6.83,30,155.4,205.1,79.6,70.3
2001,11,6.67,0.49,6.74,30,156.5,208,79.4,68.1
2001,12,6.89,0.56,6.97,30,155,204.8,79.7,62.6
2002,1,7.02,0.56,7.1,30,151.9,200.1,80.2,63
2002,2,6.98,0.57,7.07,30,153.6,200.1,80.7,62.8
2002,3,6.98,0.51,7.06,30,155,203.2,80.1,63.5
2002,4,7.11,0.56,7.2,30,154.7,201.3,80.8,64.3
2002,5,6.99,0.58,7.08,30,158,205.2,80.7,64.4
2002,6,6.87,0.59,6.96,30,158.7,213,79.2,64
2002,7,6.72,0.56,6.81,30,159.9,209.2,80.6,62.9
2002,8,6.53,0.54,6.61,30,159.6,213.2,79.6,62.1
2002,9,6.36,0.5,6.44,30,163.2,220,78.9,66
2002,10,6.23,0.44,6.29,30,162.2,218.3,79,63.2
2002,11,6.2,0.41,6.26,30,162.6,218.5,78.9,61.4
2002,12,6.21,0.43,6.28,30,161.2,215.1,79.4,63.8
2003,1,6.09,0.44,6.16,30,171.4,229.9,78.8,62
2003,2,6.02,0.34,6.07,30,161,216.2,79.1,61.2
2003,3,5.9,0.3,5.94,30,162.5,217.3,79.3,61.4
2003,4,5.9,0.38,5.96,30,171.2,226.4,79.8,61.2
2003,5,5.74,0.38,5.8,30,174.9,233,79.4,62.4
2003,6,5.5,0.36,5.55,30,177.8,238.3,78.9,64.3
2003,7,5.53,0.41,5.59,30,176.2,234.5,79.6,64
2003,8,5.88,0.46,5.94,30,171.7,230.4,78.9,58.7
2003,9,6.19,0.47,6.25,30,163.2,216.1,80.1,57.8
2003,10,6.05,0.46,6.12,30,164,217.1,79.9,56.9
2003,11,6.06,0.55,6.14,30,174,228.7,80.1,58
2003,12,6,0.57,6.09,30,155.5,204.1,80.8,54.3
2004,1,5.92,0.55,6,30,160.8,213.4,80,52.4
2004,2,5.85,0.41,5.9,30,169.5,227.3,79,59.8
2004,3,5.71,0.44,5.77,30,160.2,213.3,79.8,49.1
2004,4,5.72,0.39,5.78,30,169.4,227,79.2,51.4
2004,5,6.07,0.39,6.13,30,174.2,233.2,79.1,48.5
2004,6,6.25,0.44,6.32,30,173.4,234.8,78.4,46.3
2004,7,6.26,0.41,6.32,30,169.5,229.6,78.6,50.3
2004,8,6.1,0.5,6.17,30,168.8,226.1,79.5,51.3
2004,9,5.9,0.57,5.98,30,167.3,223.9,78.9,53
2004,10,5.91,0.49,5.98,30,166.5,227.2,78.4,51.6
2004,11,5.89,0.48,5.96,30,175.1,241.4,77.8,52.7
2004,12,5.9,0.47,5.97,30,186.1,253.9,78.2,55.5
2005,1,5.9,0.5,5.97,30,180.7,247.6,78.4,51.9
2005,2,5.91,0.35,5.96,30,162.4,230.8,77,55.4
2005,3,5.99,0.43,6.06,30,165.6,225.3,78.6,56.3
2005,4,6.09,0.48,6.16,30,163.3,224.6,77.4,53.9
2005,5,5.99,0.47,6.06,30,167.3,228.4,77.9,52.2
2005,6,5.81,0.45,5.88,30,172.4,241.4,76.3,53.8
2005,7,5.78,0.42,5.84,30,168.7,233,77.7,55.9
2005,8,5.94,0.41,6,30,172.6,236.6,77.6,56.4
2005,9,5.97,0.45,6.04,30,170.9,234.3,77.6,58
2005,10,6.08,0.41,6.14,30,168.9,232.3,77.4,58.1
2005,11,6.32,0.48,6.39,30,170.9,236,77.7,55.8
2005,12,6.44,0.47,6.5,30,169.6,232.3,77.7,56
2006,1,6.4,0.42,6.46,30,163.4,222.9,78.3,56.7
2006,2,6.42,0.42,6.48,30,175.5,237.4,78.3,58.4
2006,3,6.47,0.42,6.53,30,180.7,242.5,78.8,60.6
2006,4,6.55,0.44,6.61,30,179.1,239.6,79.4,61.2
2006,5,6.65,0.44,6.71,30,181.9,244.6,78.8,60.5
2006,6,6.71,0.47,6.78,30,183,246.5,78.7,59.2
2006,7,6.83,0.45,6.9,30,176.9,233.9,80,60.9
2006,8,6.78,0.5,6.85,30,177.3,240.3,78.8,64.8
2006,9,6.63,0.48,6.7,30,184.9,247.5,79.3,68.4
2006,10,6.6,0.51,6.68,30,181.6,244.8,78.8,66.4
2006,11,6.48,0.5,6.55,30,184.1,249.9,78.5,68.2
2006,12,6.38,0.45,6.45,30,187.3,248.4,79.7,67.3
2007,1,6.36,0.47,6.43,30,182.2,243.2,80.1,69.4
2007,2,6.37,0.49,6.44,30,181,243.7,79.5,70
2007,3,6.31,0.47,6.38,30,183.8,244.9,80.4,69.6
2007,4,6.26,0.48,6.33,30,180.6,240,80.5,70.2
2007,5,6.36,0.52,6.44,30,185.6,236.7,82.3,70.7
2007,6,6.59,0.49,6.66,30,191.8,248.6,81.2,70.3
2007,7,6.77,0.5,6.84,30,184,239.5,81.4,69
2007,8,6.73,0.54,6.81,30,188.1,240.1,82.2,70.5
2007,9,6.56,0.53,6.64,30,186.8,241.4,81.8,75.8
2007,10,6.5,0.53,6.57,30,190.5,240.3,82.7,72.7
2007,11,6.36,0.52,6.44,30,194.6,249.5,81.7,74.5
2007,12,6.2,0.61,6.29,30,196.6,243.8,83.5,75
2008,1,5.98,0.62,6.07,30,197.2,246.1,83,73.7
2008,2,5.93,0.49,6,30,194.2,247.5,81.8,71.5
2008,3,6.1,0.57,6.18,30,187.4,236.6,82.3,70.2
2008,4,5.98,0.5,6.06,30,201.9,258.7,81.1,73.3
2008,5,6.07,0.49,6.14,30,196.6,253.1,80.8,74.9
2008,6,6.24,0.51,6.31,30,195.8,254.9,80.1,72.2
2008,7,6.42,0.59,6.51,30,193.5,258.7,78.6,74.2
2008,8,6.49,0.6,6.58,30,196.2,262,78.2,73.1
2008,9,6.16,0.67,6.26,30,195.2,257.5,78.7,76.5
2008,10,6.12,0.62,6.21,30,192.4,255.2,77.9,78.9
2008,11,6.17,0.64,6.26,30,190.4,251.9,78,80.7
2008,12,5.51,0.68,5.61,30,200.8,268.6,77.1,82.9
2009,1,5.09,0.66,5.18,30,189.4,260.1,76.6,79.3
2009,2,5.03,0.59,5.11,30,193.9,266.1,76.2,78.4
2009,3,5.05,0.62,5.13,30,186.3,254.3,76.9,77.5
2009,4,4.87,0.6,4.95,30,195.3,262.8,77.4,78.2
2009,5,4.88,0.62,4.96,30,195.4,266.8,76.5,76.4
2009,6,5.12,0.63,5.21,30,193.4,264.8,76.3,74.3
2009,7,5.31,0.72,5.41,30,193.9,261.3,76.9,75.2
2009,8,5.3,0.7,5.4,30,189.3,258,76.1,73.4
2009,9,5.23,0.68,5.33,30,183.7,249.8,75.9,73.5
2009,10,5.1,0.68,5.19,30,182.1,245.5,76.3,74.7
2009,11,5.09,0.65,5.19,30,182,247.3,76,73.7
2009,12,5.05,0.69,5.14,30,188.2,254.7,76.3,69.2
2010,1,5.1,0.58,5.18,30,190,265.2,74.8,72.4
2010,2,5.13,0.67,5.23,30,180.5,244.6,76.9,70
2010,3,5.09,0.65,5.18,30,187.4,253.5,76.1,71.7
2010,4,5.12,0.68,5.22,30,187.2,256.8,76.1,70
2010,5,5.12,0.75,5.23,30,186,251.1,76.4,67.2
2010,6,5,0.88,5.12,30,185.4,251.9,76.3,69.4
2010,7,4.84,0.91,4.96,30,188.4,255,76.7,69.7
2010,8,4.7,0.91,4.82,30,184.6,256,75.8,68.4
2010,9,4.58,0.88,4.7,30,186.8,256,75.2,70.6
2010,10,4.46,0.96,4.59,30,183.9,259.2,73.9,73.8
2010,11,4.38,0.84,4.5,30,185.5,253.9,76.6,71.1
2010,12,4.61,0.86,4.73,30,180.9,241.8,77.5,77.1
2011,1,4.85,0.89,4.98,30,168.2,235,74.8,68.5
2011,2,4.97,0.88,5.09,30,183,249.9,76.9,66.8
2011,3,5.06,1.07,5.21,30,178.8,237.5,77.9,64.4
2011,4,4.99,0.92,5.12,30,172.4,227.6,78.4,66.8
2011,5,4.92,0.89,5.04,30,186.4,244.5,79.2,67.6
2011,6,4.79,0.97,4.92,30,175.8,230.5,78.6,69.9
2011,7,4.69,0.88,4.81,30,176,230.3,78.5,70.2
2011,8,4.63,1.02,4.77,30,176.4,234.5,78.7,64.1
2011,9,4.56,0.98,4.69,30,181.1,232.5,80.8,75.1
2011,10,4.36,0.89,4.48,30,179,226.5,82.1,72.4
2011,11,4.4,0.87,4.52,30,182,236.7,79.6,70.3
2011,12,4.32,0.94,4.45,30,180.7,230.4,81.2,70
2012,1,4.33,0.84,4.44,30,182.2,235.2,80.2,63
2012,2,4.36,1.06,4.51,30,180.8,238.1,79.3,64.3
2012,3,4.12,1.16,4.16,30,200.2,261.3,78.6,56.2
2012,4,4.21,1.05,4.32,30,192.8,251.6,78.8,57.7
2012,5,4.04,1.17,4.19,30,202.9,262.3,79,60
2012,6,3.88,1.26,4.04,30,209.9,274.8,78.7,62.7
2012,7,3.84,1.09,3.98,30,206.2,269.7,79,64.2
2012,8,3.74,1.2,3.89,30,206,267.8,79.1,64.5
2012,9,3.76,1.1,3.9,30,204.5,266.6,78.8,62.8
2012,10,3.62,1.22,3.77,30,204.6,264.4,79.2,63.7
2012,11,3.54,1.24,3.69,30,213,279.7,79,62
2012,12,3.47,1.29,3.63,30,213,277.6,79.6,61.9
2013,1,3.53,1.11,3.67,30,205.6,270.8,79.7,63.9
2013,2,3.62,1.11,3.76,30,205.8,267.1,80.3,62.8
2013,3,3.74,1.06,3.87,30,210.6,274.2,80.4,62.8
2013,4,3.77,1.2,3.93,30,204.9,262.4,81,61.9
2013,5,3.58,1.37,3.76,30,216.7,276.6,80.9,64
2013,6,3.76,1.06,3.9,30,215.1,275.9,80.9,60.3
2013,7,4.27,1.09,4.42,30,209.4,267.9,81.1,59.9
2013,8,4.49,1.21,4.65,30,210,268,80.7,63.8
2013,9,4.63,1.22,4.79,30,204.5,263.1,80.5,62.6
2013,10,4.58,1.4,4.77,30,205.3,262.9,80.6,64.1
2013,11,4.48,1.36,4.65,30,205.5,264.3,80.6,65
2013,12,4.54,1.34,4.71,30,215.3,273.5,80.8,62.7
2014,1,4.67,1.44,4.85,30,207.7,266.6,80.6,62.9
2014,2,4.45,1.49,4.64,30,204.7,262.5,80.5,63.5
2014,3,4.51,1.36,4.69,30,211.3,268.7,80.8,63.4
2014,4,4.53,1.31,4.7,30,209.3,265.6,81.4,62.7
2014,5,4.37,1.39,4.55,30,214.4,269.2,81.7,64.5
2014,6,4.34,1.34,4.52,30,218,275.9,81.2,63
2014,7,4.34,1.34,4.51,30,217,276.7,80.7,65.1
2014,8,4.33,1.33,4.5,30,217,275.6,80.9,64.6
2014,9,4.31,1.3,4.47,30,213.4,272.6,80.6,64.5
2014,10,4.32,1.44,4.51,30,214.8,273.1,80.7,66.2
2014,11,4.24,1.45,4.42,30,215.7,274.7,81.1,63
2014,12,4.19,1.51,4.37,30,222.5,284.1,80.8,65
2015,1,4.06,1.39,4.24,30,215.7,278.2,80.5,64.7
2015,2,3.91,1.33,4.08,30,224,288.9,80.4,66.5
2015,3,3.95,1.3,4.12,30,230.5,299,80.4,63.9
2015,4,3.93,1.41,4.11,30,220.3,283.7,80.7,64.4
2015,5,3.9,1.28,4.07,30,230.8,295.9,80.8,65.9
2015,6,4.04,1.29,4.2,30,231.6,298.4,80.7,61.6
2015,7,4.2,1.45,4.38,30,222.4,281.5,81.3,65.4
2015,8,4.2,1.42,4.38,30,218.7,280.5,81,62.6
2015,9,4.17,1.42,4.34,30,216.7,279,80.6,62.1
2015,10,4.12,1.43,4.29,30,219.6,285,80.5,61.5
2015,11,4.08,1.41,4.25,30,225.9,291.1,81,61.5
2015,12,4.2,1.43,4.36,30,226.6,290.4,80.8,61.1
2016,1,4.23,1.35,4.39,30,215.3,280.7,80.2,61
2016,2,4.11,1.42,4.28,30,222.7,285.5,81,61.7
2016,3,3.95,1.3,4.1,30,233.1,294.7,81.9,64.1
2016,4,3.94,1.32,4.11,30,225,285.9,81.5,63.5
2016,5,3.89,1.29,4.05,30,229.5,287.4,82.3,63.5
2016,6,3.88,1.29,4.03,30,233.4,292,82.7,63.7
2016,7,3.8,1.37,3.97,30,229.3,286.8,82.7,63.3
2016,8,3.74,1.37,3.9,30,230.6,287.3,83,64.5
2016,9,3.73,1.43,3.88,30,224.2,280.2,82.6,68.5
2016,10,3.76,1.38,3.9,30,225.2,283.9,82.4,65.1
2016,11,3.8,1.47,3.95,30,226.7,284.7,82.7,65.5
2016,12,4.08,1.45,4.18,30,235.1,297.6,81.7,65.4
2017,1,4.37,1.47,4.51,30,222.7,281.8,81.9,65.7
2017,2,4.41,1.47,4.55,30,227,285.6,82.2,69.1
2017,3,4.24,1.38,4.38,30,232.5,293.8,82.1,68
2017,4,4.04,1.18,4.18,30,230.6,289.8,82.1,69.1
2017,5,3.97,1.16,4.09,30,232.4,291.2,82.3,69
2017,6,4.15,1.33,4.26,30,235.8,299.1,81.4,68.3
2017,7,4.14,1.32,4.25,30,230.9,289.8,82.3,66.6
2017,8,4.19,1.28,4.29,30,230.8,291.2,81.8,68.6
2017,9,4.14,1.31,4.23,30,227.5,288.4,81.5,70
2017,10,4.11,1.25,4.16,30,231.8,296.5,81.2,68.6
2017,11,4.17,1.26,4.17,30,239,304.7,81.1,69.2
2017,12,4.17,1.23,4.22,30,243.2,310.6,81,67.4
2018,1,4.19,1.21,4.25,30,242.5,308,81.5,73.3
2018,2,4.36,1.15,4.46,30,246.5,312.1,81.5,71.5
2018,3,4.54,1.14,4.62,30,254.6,322.3,81.2,73.4
2018,4,4.64,1.17,4.78,30,237.6,299.8,81.3,70.2
2018,5,4.71,1.13,4.82,30,243.2,307.7,81.4,68.8
2018,6,4.76,1.14,4.86,30,248.4,315.7,80.9,68.1
2018,7,4.77,1.15,4.88,30,240,303,81.4,68.6
2018,8,4.78,1.15,4.87,30,241.3,306.5,81,70.2
2018,9,4.77,1.12,4.86,30,238.6,308.6,79.9,71.6
2018,10,4.87,1.06,4.97,30,238.5,305.4,80.3,70.5
2018,11,4.99,1.03,5.07,30,243.2,309.5,80.7,70.1
2018,12,4.98,1.17,5.1,30,242.8,310.3,80.5,70
2019,1,4.78,1.18,4.9,30,250.7,317.7,81.2,75.1
2019,2,4.67,1.13,4.77,30,241.1,307.2,80.7,71.2
2019,3,4.61,1.06,4.69,30,254.8,321.5,81.4,71.5
2019,4,4.39,1.12,4.5,30,247.5,310.5,81.9,67.9
